"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Both sexes","1 year","Waterford City and County","Number","1726"
"Population","2011","Both sexes","1 year","Westmeath","Number","1373"
"Population","2011","Both sexes","1 year","Wicklow","Number","2301"
"Population","2011","Both sexes","1 year","Wexford","Number","2248"
"Population","2011","Both sexes","2 years","State","Number","72566"
"Population","2011","Both sexes","2 years","Cork City and Cork County","Number","8197"
"Population","2011","Both sexes","2 years","Clare","Number","1791"
"Population","2011","Both sexes","2 years","Cavan","Number","1270"
"Population","2011","Both sexes","2 years","Carlow","Number","879"
"Population","2011","Both sexes","2 years","Dublin City","Number","6029"
"Population","2011","Both sexes","2 years","Donegal","Number","2601"
"Population","2011","Both sexes","2 years","Dún Laoghaire-Rathdown","Number","2635"
"Population","2011","Both sexes","2 years","Fingal","Number","5381"
"Population","2011","Both sexes","2 years","Galway City","Number","983"
"Population","2011","Both sexes","2 years","Galway County","Number","2922"
"Population","2011","Both sexes","2 years","Kildare","Number","3814"
"Population","2011","Both sexes","2 years","Kilkenny","Number","1546"
"Population","2011","Both sexes","2 years","Kerry","Number","2009"
"Population","2011","Both sexes","2 years","Longford","Number","653"
"Population","2011","Both sexes","2 years","Louth","Number","2197"
"Population","2011","Both sexes","2 years","Limerick City and County","Number","2898"
"Population","2011","Both sexes","2 years","Leitrim","Number","479"
"Population","2011","Both sexes","2 years","Laois","Number","1477"
"Population","2011","Both sexes","2 years","Meath","Number","3618"
"Population","2011","Both sexes","2 years","Monaghan","Number","1036"
"Population","2011","Both sexes","2 years","Mayo","Number","1841"
"Population","2011","Both sexes","2 years","Offaly","Number","1308"
"Population","2011","Both sexes","2 years","Roscommon","Number","949"
"Population","2011","Both sexes","2 years","South Dublin","Number","4714"
"Population","2011","Both sexes","2 years","Sligo","Number","889"
"Population","2011","Both sexes","2 years","Tipperary","Number","2460"
"Population","2011","Both sexes","2 years","Waterford City and County","Number","1814"
"Population","2011","Both sexes","2 years","Westmeath","Number","1357"
"Population","2011","Both sexes","2 years","Wicklow","Number","2356"
"Population","2011","Both sexes","2 years","Wexford","Number","2463"
"Population","2011","Both sexes","3 years","State","Number","71457"
"Population","2011","Both sexes","3 years","Cork City and Cork County","Number","8049"
"Population","2011","Both sexes","3 years","Clare","Number","1843"
"Population","2011","Both sexes","3 years","Cavan","Number","1246"
"Population","2011","Both sexes","3 years","Carlow","Number","916"
"Population","2011","Both sexes","3 years","Dublin City","Number","5642"
"Population","2011","Both sexes","3 years","Donegal","Number","2607"
"Population","2011","Both sexes","3 years","Dún Laoghaire-Rathdown","Number","2570"
"Population","2011","Both sexes","3 years","Fingal","Number","5410"
"Population","2011","Both sexes","3 years","Galway City","Number","951"
"Population","2011","Both sexes","3 years","Galway County","Number","2943"
"Population","2011","Both sexes","3 years","Kildare","Number","3908"
"Population","2011","Both sexes","3 years","Kilkenny","Number","1445"
"Population","2011","Both sexes","3 years","Kerry","Number","2080"
"Population","2011","Both sexes","3 years","Longford","Number","667"
"Population","2011","Both sexes","3 years","Louth","Number","2019"
"Population","2011","Both sexes","3 years","Limerick City and County","Number","2814"
"Population","2011","Both sexes","3 years","Leitrim","Number","488"
"Population","2011","Both sexes","3 years","Laois","Number","1547"
"Population","2011","Both sexes","3 years","Meath","Number","3603"
"Population","2011","Both sexes","3 years","Monaghan","Number","1009"
"Population","2011","Both sexes","3 years","Mayo","Number","1908"
"Population","2011","Both sexes","3 years","Offaly","Number","1235"
"Population","2011","Both sexes","3 years","Roscommon","Number","904"
"Population","2011","Both sexes","3 years","South Dublin","Number","4607"
"Population","2011","Both sexes","3 years","Sligo","Number","926"
"Population","2011","Both sexes","3 years","Tipperary","Number","2393"
"Population","2011","Both sexes","3 years","Waterford City and County","Number","1717"
"Population","2011","Both sexes","3 years","Westmeath","Number","1394"
"Population","2011","Both sexes","3 years","Wicklow","Number","2293"
"Population","2011","Both sexes","3 years","Wexford","Number","2323"
"Population","2011","Both sexes","4 years","State","Number","67251"
"Population","2011","Both sexes","4 years","Cork City and Cork County","Number","7593"
"Population","2011","Both sexes","4 years","Clare","Number","1817"
"Population","2011","Both sexes","4 years","Cavan","Number","1205"
"Population","2011","Both sexes","4 years","Carlow","Number","808"
"Population","2011","Both sexes","4 years","Dublin City","Number","5173"
"Population","2011","Both sexes","4 years","Donegal","Number","2460"
"Population","2011","Both sexes","4 years","Dún Laoghaire-Rathdown","Number","2492"
"Population","2011","Both sexes","4 years","Fingal","Number","4798"
"Population","2011","Both sexes","4 years","Galway City","Number","860"
"Population","2011","Both sexes","4 years","Galway County","Number","2648"
"Population","2011","Both sexes","4 years","Kildare","Number","3554"
"Population","2011","Both sexes","4 years","Kilkenny","Number","1442"
"Population","2011","Both sexes","4 years","Kerry","Number","1980"
"Population","2011","Both sexes","4 years","Longford","Number","649"
"Population","2011","Both sexes","4 years","Louth","Number","2073"
"Population","2011","Both sexes","4 years","Limerick City and County","Number","2663"
"Population","2011","Both sexes","4 years","Leitrim","Number","522"
"Population","2011","Both sexes","4 years","Laois","Number","1446"
"Population","2011","Both sexes","4 years","Meath","Number","3308"
"Population","2011","Both sexes","4 years","Monaghan","Number","928"
"Population","2011","Both sexes","4 years","Mayo","Number","1782"
"Population","2011","Both sexes","4 years","Offaly","Number","1210"
"Population","2011","Both sexes","4 years","Roscommon","Number","916"
"Population","2011","Both sexes","4 years","South Dublin","Number","4228"
"Population","2011","Both sexes","4 years","Sligo","Number","915"
"Population","2011","Both sexes","4 years","Tipperary","Number","2319"
"Population","2011","Both sexes","4 years","Waterford City and County","Number","1661"
"Population","2011","Both sexes","4 years","Westmeath","Number","1327"
"Population","2011","Both sexes","4 years","Wicklow","Number","2184"
"Population","2011","Both sexes","4 years","Wexford","Number","2290"
"Population","2011","Both sexes","5 years","State","Number","64937"
"Population","2011","Both sexes","5 years","Cork City and Cork County","Number","7296"
"Population","2011","Both sexes","5 years","Clare","Number","1804"
"Population","2011","Both sexes","5 years","Cavan","Number","1086"
"Population","2011","Both sexes","5 years","Carlow","Number","811"
"Population","2011","Both sexes","5 years","Dublin City","Number","4916"
"Population","2011","Both sexes","5 years","Donegal","Number","2468"
"Population","2011","Both sexes","5 years","Dún Laoghaire-Rathdown","Number","2445"
"Population","2011","Both sexes","5 years","Fingal","Number","4481"
"Population","2011","Both sexes","5 years","Galway City","Number","795"
"Population","2011","Both sexes","5 years","Galway County","Number","2766"
"Population","2011","Both sexes","5 years","Kildare","Number","3447"
"Population","2011","Both sexes","5 years","Kilkenny","Number","1383"
"Population","2011","Both sexes","5 years","Kerry","Number","1879"
"Population","2011","Both sexes","5 years","Longford","Number","625"
