"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Both sexes","90 years","Longford","Number","49"
"Population","2011","Both sexes","90 years","Louth","Number","132"
"Population","2011","Both sexes","90 years","Limerick City and County","Number","176"
"Population","2011","Both sexes","90 years","Leitrim","Number","50"
"Population","2011","Both sexes","90 years","Laois","Number","55"
"Population","2011","Both sexes","90 years","Meath","Number","116"
"Population","2011","Both sexes","90 years","Monaghan","Number","71"
"Population","2011","Both sexes","90 years","Mayo","Number","184"
"Population","2011","Both sexes","90 years","Offaly","Number","70"
"Population","2011","Both sexes","90 years","Roscommon","Number","109"
"Population","2011","Both sexes","90 years","South Dublin","Number","126"
"Population","2011","Both sexes","90 years","Sligo","Number","85"
"Population","2011","Both sexes","90 years","Tipperary","Number","193"
"Population","2011","Both sexes","90 years","Waterford City and County","Number","100"
"Population","2011","Both sexes","90 years","Westmeath","Number","94"
"Population","2011","Both sexes","90 years","Wicklow","Number","125"
"Population","2011","Both sexes","90 years","Wexford","Number","151"
"Population","2011","Both sexes","91 years","State","Number","3859"
"Population","2011","Both sexes","91 years","Cork City and Cork County","Number","433"
"Population","2011","Both sexes","91 years","Clare","Number","121"
"Population","2011","Both sexes","91 years","Cavan","Number","90"
"Population","2011","Both sexes","91 years","Carlow","Number","44"
"Population","2011","Both sexes","91 years","Dublin City","Number","486"
"Population","2011","Both sexes","91 years","Donegal","Number","165"
"Population","2011","Both sexes","91 years","Dún Laoghaire-Rathdown","Number","250"
"Population","2011","Both sexes","91 years","Fingal","Number","111"
"Population","2011","Both sexes","91 years","Galway City","Number","62"
"Population","2011","Both sexes","91 years","Galway County","Number","178"
"Population","2011","Both sexes","91 years","Kildare","Number","116"
"Population","2011","Both sexes","91 years","Kilkenny","Number","98"
"Population","2011","Both sexes","91 years","Kerry","Number","146"
"Population","2011","Both sexes","91 years","Longford","Number","38"
"Population","2011","Both sexes","91 years","Louth","Number","86"
"Population","2011","Both sexes","91 years","Limerick City and County","Number","158"
"Population","2011","Both sexes","91 years","Leitrim","Number","43"
"Population","2011","Both sexes","91 years","Laois","Number","60"
"Population","2011","Both sexes","91 years","Meath","Number","94"
"Population","2011","Both sexes","91 years","Monaghan","Number","49"
"Population","2011","Both sexes","91 years","Mayo","Number","155"
"Population","2011","Both sexes","91 years","Offaly","Number","74"
"Population","2011","Both sexes","91 years","Roscommon","Number","73"
"Population","2011","Both sexes","91 years","South Dublin","Number","123"
"Population","2011","Both sexes","91 years","Sligo","Number","75"
"Population","2011","Both sexes","91 years","Tipperary","Number","161"
"Population","2011","Both sexes","91 years","Waterford City and County","Number","99"
"Population","2011","Both sexes","91 years","Westmeath","Number","65"
"Population","2011","Both sexes","91 years","Wicklow","Number","100"
"Population","2011","Both sexes","91 years","Wexford","Number","106"
"Population","2011","Both sexes","92 years","State","Number","2763"
"Population","2011","Both sexes","92 years","Cork City and Cork County","Number","303"
"Population","2011","Both sexes","92 years","Clare","Number","77"
"Population","2011","Both sexes","92 years","Cavan","Number","56"
"Population","2011","Both sexes","92 years","Carlow","Number","35"
"Population","2011","Both sexes","92 years","Dublin City","Number","368"
"Population","2011","Both sexes","92 years","Donegal","Number","114"
"Population","2011","Both sexes","92 years","Dún Laoghaire-Rathdown","Number","169"
"Population","2011","Both sexes","92 years","Fingal","Number","78"
"Population","2011","Both sexes","92 years","Galway City","Number","42"
"Population","2011","Both sexes","92 years","Galway County","Number","145"
"Population","2011","Both sexes","92 years","Kildare","Number","65"
"Population","2011","Both sexes","92 years","Kilkenny","Number","60"
"Population","2011","Both sexes","92 years","Kerry","Number","90"
"Population","2011","Both sexes","92 years","Longford","Number","22"
"Population","2011","Both sexes","92 years","Louth","Number","82"
"Population","2011","Both sexes","92 years","Limerick City and County","Number","119"
"Population","2011","Both sexes","92 years","Leitrim","Number","20"
"Population","2011","Both sexes","92 years","Laois","Number","41"
"Population","2011","Both sexes","92 years","Meath","Number","78"
"Population","2011","Both sexes","92 years","Monaghan","Number","42"
"Population","2011","Both sexes","92 years","Mayo","Number","111"
"Population","2011","Both sexes","92 years","Offaly","Number","42"
"Population","2011","Both sexes","92 years","Roscommon","Number","45"
"Population","2011","Both sexes","92 years","South Dublin","Number","71"
"Population","2011","Both sexes","92 years","Sligo","Number","58"
"Population","2011","Both sexes","92 years","Tipperary","Number","119"
"Population","2011","Both sexes","92 years","Waterford City and County","Number","69"
"Population","2011","Both sexes","92 years","Westmeath","Number","73"
"Population","2011","Both sexes","92 years","Wicklow","Number","86"
"Population","2011","Both sexes","92 years","Wexford","Number","83"
"Population","2011","Both sexes","93 years","State","Number","1927"
"Population","2011","Both sexes","93 years","Cork City and Cork County","Number","205"
"Population","2011","Both sexes","93 years","Clare","Number","52"
"Population","2011","Both sexes","93 years","Cavan","Number","44"
"Population","2011","Both sexes","93 years","Carlow","Number","29"
"Population","2011","Both sexes","93 years","Dublin City","Number","253"
"Population","2011","Both sexes","93 years","Donegal","Number","112"
"Population","2011","Both sexes","93 years","Dún Laoghaire-Rathdown","Number","120"
"Population","2011","Both sexes","93 years","Fingal","Number","57"
"Population","2011","Both sexes","93 years","Galway City","Number","17"
"Population","2011","Both sexes","93 years","Galway County","Number","97"
"Population","2011","Both sexes","93 years","Kildare","Number","59"
"Population","2011","Both sexes","93 years","Kilkenny","Number","47"
"Population","2011","Both sexes","93 years","Kerry","Number","83"
"Population","2011","Both sexes","93 years","Longford","Number","20"
"Population","2011","Both sexes","93 years","Louth","Number","52"
"Population","2011","Both sexes","93 years","Limerick City and County","Number","70"
"Population","2011","Both sexes","93 years","Leitrim","Number","18"
"Population","2011","Both sexes","93 years","Laois","Number","20"
"Population","2011","Both sexes","93 years","Meath","Number","48"
"Population","2011","Both sexes","93 years","Monaghan","Number","34"
"Population","2011","Both sexes","93 years","Mayo","Number","72"
"Population","2011","Both sexes","93 years","Offaly","Number","26"
"Population","2011","Both sexes","93 years","Roscommon","Number","45"
"Population","2011","Both sexes","93 years","South Dublin","Number","52"
"Population","2011","Both sexes","93 years","Sligo","Number","41"
"Population","2011","Both sexes","93 years","Tipperary","Number","75"
"Population","2011","Both sexes","93 years","Waterford City and County","Number","47"
"Population","2011","Both sexes","93 years","Westmeath","Number","32"
"Population","2011","Both sexes","93 years","Wicklow","Number","45"
"Population","2011","Both sexes","93 years","Wexford","Number","55"
"Population","2011","Both sexes","94 years","State","Number","1610"
"Population","2011","Both sexes","94 years","Cork City and Cork County","Number","193"
"Population","2011","Both sexes","94 years","Clare","Number","47"
"Population","2011","Both sexes","94 years","Cavan","Number","38"
"Population","2011","Both sexes","94 years","Carlow","Number","10"
"Population","2011","Both sexes","94 years","Dublin City","Number","185"
"Population","2011","Both sexes","94 years","Donegal","Number","84"
"Population","2011","Both sexes","94 years","Dún Laoghaire-Rathdown","Number","95"
"Population","2011","Both sexes","94 years","Fingal","Number","40"
"Population","2011","Both sexes","94 years","Galway City","Number","17"
"Population","2011","Both sexes","94 years","Galway County","Number","87"
"Population","2011","Both sexes","94 years","Kildare","Number","62"
"Population","2011","Both sexes","94 years","Kilkenny","Number","38"
"Population","2011","Both sexes","94 years","Kerry","Number","66"
"Population","2011","Both sexes","94 years","Longford","Number","14"
"Population","2011","Both sexes","94 years","Louth","Number","33"
"Population","2011","Both sexes","94 years","Limerick City and County","Number","59"
"Population","2011","Both sexes","94 years","Leitrim","Number","19"
"Population","2011","Both sexes","94 years","Laois","Number","22"
"Population","2011","Both sexes","94 years","Meath","Number","52"
"Population","2011","Both sexes","94 years","Monaghan","Number","32"
"Population","2011","Both sexes","94 years","Mayo","Number","97"
"Population","2011","Both sexes","94 years","Offaly","Number","20"
"Population","2011","Both sexes","94 years","Roscommon","Number","33"
"Population","2011","Both sexes","94 years","South Dublin","Number","38"
"Population","2011","Both sexes","94 years","Sligo","Number","35"
"Population","2011","Both sexes","94 years","Tipperary","Number","45"
"Population","2011","Both sexes","94 years","Waterford City and County","Number","31"
"Population","2011","Both sexes","94 years","Westmeath","Number","34"
"Population","2011","Both sexes","94 years","Wicklow","Number","38"
"Population","2011","Both sexes","94 years","Wexford","Number","46"
"Population","2011","Both sexes","95 years","State","Number","1166"
"Population","2011","Both sexes","95 years","Cork City and Cork County","Number","138"
"Population","2011","Both sexes","95 years","Clare","Number","33"
"Population","2011","Both sexes","95 years","Cavan","Number","19"
"Population","2011","Both sexes","95 years","Carlow","Number","14"
"Population","2011","Both sexes","95 years","Dublin City","Number","155"
"Population","2011","Both sexes","95 years","Donegal","Number","49"
"Population","2011","Both sexes","95 years","Dún Laoghaire-Rathdown","Number","70"
"Population","2011","Both sexes","95 years","Fingal","Number","20"
"Population","2011","Both sexes","95 years","Galway City","Number","11"
"Population","2011","Both sexes","95 years","Galway County","Number","69"
"Population","2011","Both sexes","95 years","Kildare","Number","37"
"Population","2011","Both sexes","95 years","Kilkenny","Number","23"
"Population","2011","Both sexes","95 years","Kerry","Number","42"
"Population","2011","Both sexes","95 years","Longford","Number","9"
"Population","2011","Both sexes","95 years","Louth","Number","28"
"Population","2011","Both sexes","95 years","Limerick City and County","Number","41"
"Population","2011","Both sexes","95 years","Leitrim","Number","13"
"Population","2011","Both sexes","95 years","Laois","Number","16"
"Population","2011","Both sexes","95 years","Meath","Number","33"
"Population","2011","Both sexes","95 years","Monaghan","Number","25"
"Population","2011","Both sexes","95 years","Mayo","Number","52"
"Population","2011","Both sexes","95 years","Offaly","Number","19"
"Population","2011","Both sexes","95 years","Roscommon","Number","30"
"Population","2011","Both sexes","95 years","South Dublin","Number","37"
"Population","2011","Both sexes","95 years","Sligo","Number","24"
"Population","2011","Both sexes","95 years","Tipperary","Number","34"
"Population","2011","Both sexes","95 years","Waterford City and County","Number","22"
"Population","2011","Both sexes","95 years","Westmeath","Number","28"
"Population","2011","Both sexes","95 years","Wicklow","Number","39"
"Population","2011","Both sexes","95 years","Wexford","Number","36"
"Population","2011","Both sexes","96 years","State","Number","810"
"Population","2011","Both sexes","96 years","Cork City and Cork County","Number","99"
"Population","2011","Both sexes","96 years","Clare","Number","19"
"Population","2011","Both sexes","96 years","Cavan","Number","13"
"Population","2011","Both sexes","96 years","Carlow","Number","6"
"Population","2011","Both sexes","96 years","Dublin City","Number","113"
"Population","2011","Both sexes","96 years","Donegal","Number","34"
"Population","2011","Both sexes","96 years","Dún Laoghaire-Rathdown","Number","44"
"Population","2011","Both sexes","96 years","Fingal","Number","20"
"Population","2011","Both sexes","96 years","Galway City","Number","10"
"Population","2011","Both sexes","96 years","Galway County","Number","46"
"Population","2011","Both sexes","96 years","Kildare","Number","26"
"Population","2011","Both sexes","96 years","Kilkenny","Number","18"
"Population","2011","Both sexes","96 years","Kerry","Number","33"
"Population","2011","Both sexes","96 years","Longford","Number","10"
"Population","2011","Both sexes","96 years","Louth","Number","24"
"Population","2011","Both sexes","96 years","Limerick City and County","Number","35"
"Population","2011","Both sexes","96 years","Leitrim","Number","6"
"Population","2011","Both sexes","96 years","Laois","Number","11"
"Population","2011","Both sexes","96 years","Meath","Number","24"
"Population","2011","Both sexes","96 years","Monaghan","Number","16"
"Population","2011","Both sexes","96 years","Mayo","Number","37"
"Population","2011","Both sexes","96 years","Offaly","Number","13"
"Population","2011","Both sexes","96 years","Roscommon","Number","12"
"Population","2011","Both sexes","96 years","South Dublin","Number","16"
"Population","2011","Both sexes","96 years","Sligo","Number","17"
"Population","2011","Both sexes","96 years","Tipperary","Number","31"
"Population","2011","Both sexes","96 years","Waterford City and County","Number","20"
"Population","2011","Both sexes","96 years","Westmeath","Number","18"
"Population","2011","Both sexes","96 years","Wicklow","Number","18"
"Population","2011","Both sexes","96 years","Wexford","Number","21"
"Population","2011","Both sexes","97 years","State","Number","638"
"Population","2011","Both sexes","97 years","Cork City and Cork County","Number","71"
"Population","2011","Both sexes","97 years","Clare","Number","20"
"Population","2011","Both sexes","97 years","Cavan","Number","14"
"Population","2011","Both sexes","97 years","Carlow","Number","3"
"Population","2011","Both sexes","97 years","Dublin City","Number","76"
"Population","2011","Both sexes","97 years","Donegal","Number","31"
"Population","2011","Both sexes","97 years","Dún Laoghaire-Rathdown","Number","42"
"Population","2011","Both sexes","97 years","Fingal","Number","18"
"Population","2011","Both sexes","97 years","Galway City","Number","10"
"Population","2011","Both sexes","97 years","Galway County","Number","39"
"Population","2011","Both sexes","97 years","Kildare","Number","27"
"Population","2011","Both sexes","97 years","Kilkenny","Number","16"
"Population","2011","Both sexes","97 years","Kerry","Number","14"
"Population","2011","Both sexes","97 years","Longford","Number","7"
"Population","2011","Both sexes","97 years","Louth","Number","17"
"Population","2011","Both sexes","97 years","Limerick City and County","Number","24"
"Population","2011","Both sexes","97 years","Leitrim","Number","6"
"Population","2011","Both sexes","97 years","Laois","Number","5"
"Population","2011","Both sexes","97 years","Meath","Number","22"
"Population","2011","Both sexes","97 years","Monaghan","Number","9"
"Population","2011","Both sexes","97 years","Mayo","Number","41"
"Population","2011","Both sexes","97 years","Offaly","Number","10"
"Population","2011","Both sexes","97 years","Roscommon","Number","13"
"Population","2011","Both sexes","97 years","South Dublin","Number","16"
"Population","2011","Both sexes","97 years","Sligo","Number","13"
"Population","2011","Both sexes","97 years","Tipperary","Number","27"
"Population","2011","Both sexes","97 years","Waterford City and County","Number","18"
"Population","2011","Both sexes","97 years","Westmeath","Number","7"
"Population","2011","Both sexes","97 years","Wicklow","Number","13"
"Population","2011","Both sexes","97 years","Wexford","Number","9"
"Population","2011","Both sexes","98 years","State","Number","381"
"Population","2011","Both sexes","98 years","Cork City and Cork County","Number","50"
"Population","2011","Both sexes","98 years","Clare","Number","8"
"Population","2011","Both sexes","98 years","Cavan","Number","7"
"Population","2011","Both sexes","98 years","Carlow","Number","3"
"Population","2011","Both sexes","98 years","Dublin City","Number","50"
"Population","2011","Both sexes","98 years","Donegal","Number","19"
"Population","2011","Both sexes","98 years","Dún Laoghaire-Rathdown","Number","29"
"Population","2011","Both sexes","98 years","Fingal","Number","3"
"Population","2011","Both sexes","98 years","Galway City","Number","7"
"Population","2011","Both sexes","98 years","Galway County","Number","14"
"Population","2011","Both sexes","98 years","Kildare","Number","9"
"Population","2011","Both sexes","98 years","Kilkenny","Number","6"
"Population","2011","Both sexes","98 years","Kerry","Number","19"
"Population","2011","Both sexes","98 years","Longford","Number","4"
"Population","2011","Both sexes","98 years","Louth","Number","4"
"Population","2011","Both sexes","98 years","Limerick City and County","Number","13"
"Population","2011","Both sexes","98 years","Leitrim","Number","3"
"Population","2011","Both sexes","98 years","Laois","Number","4"
"Population","2011","Both sexes","98 years","Meath","Number","12"
"Population","2011","Both sexes","98 years","Monaghan","Number","9"
"Population","2011","Both sexes","98 years","Mayo","Number","24"
"Population","2011","Both sexes","98 years","Offaly","Number","6"
"Population","2011","Both sexes","98 years","Roscommon","Number","8"
"Population","2011","Both sexes","98 years","South Dublin","Number","11"
"Population","2011","Both sexes","98 years","Sligo","Number","12"
"Population","2011","Both sexes","98 years","Tipperary","Number","9"
"Population","2011","Both sexes","98 years","Waterford City and County","Number","8"
"Population","2011","Both sexes","98 years","Westmeath","Number","7"
"Population","2011","Both sexes","98 years","Wicklow","Number","11"
"Population","2011","Both sexes","98 years","Wexford","Number","12"
"Population","2011","Both sexes","99 years","State","Number","268"
"Population","2011","Both sexes","99 years","Cork City and Cork County","Number","30"
"Population","2011","Both sexes","99 years","Clare","Number","9"
"Population","2011","Both sexes","99 years","Cavan","Number","3"
"Population","2011","Both sexes","99 years","Carlow","Number","4"
"Population","2011","Both sexes","99 years","Dublin City","Number","41"
"Population","2011","Both sexes","99 years","Donegal","Number","10"
"Population","2011","Both sexes","99 years","Dún Laoghaire-Rathdown","Number","22"
"Population","2011","Both sexes","99 years","Fingal","Number","5"
"Population","2011","Both sexes","99 years","Galway City","Number","6"
"Population","2011","Both sexes","99 years","Galway County","Number","8"
"Population","2011","Both sexes","99 years","Kildare","Number","5"
"Population","2011","Both sexes","99 years","Kilkenny","Number","6"
"Population","2011","Both sexes","99 years","Kerry","Number","12"
"Population","2011","Both sexes","99 years","Longford","Number","2"
"Population","2011","Both sexes","99 years","Louth","Number","6"
"Population","2011","Both sexes","99 years","Limerick City and County","Number","13"
"Population","2011","Both sexes","99 years","Leitrim","Number","3"
"Population","2011","Both sexes","99 years","Laois","Number","5"
"Population","2011","Both sexes","99 years","Meath","Number","6"
"Population","2011","Both sexes","99 years","Monaghan","Number","5"
"Population","2011","Both sexes","99 years","Mayo","Number","13"
"Population","2011","Both sexes","99 years","Offaly","Number","2"
"Population","2011","Both sexes","99 years","Roscommon","Number","7"
"Population","2011","Both sexes","99 years","South Dublin","Number","7"
"Population","2011","Both sexes","99 years","Sligo","Number","4"
"Population","2011","Both sexes","99 years","Tipperary","Number","5"
"Population","2011","Both sexes","99 years","Waterford City and County","Number","10"
"Population","2011","Both sexes","99 years","Westmeath","Number","7"
"Population","2011","Both sexes","99 years","Wicklow","Number","7"
"Population","2011","Both sexes","99 years","Wexford","Number","5"
"Population","2011","Both sexes","100 years and over","State","Number","389"
"Population","2011","Both sexes","100 years and over","Cork City and Cork County","Number","36"
"Population","2011","Both sexes","100 years and over","Clare","Number","22"
"Population","2011","Both sexes","100 years and over","Cavan","Number","4"
"Population","2011","Both sexes","100 years and over","Carlow","Number","3"
"Population","2011","Both sexes","100 years and over","Dublin City","Number","51"
"Population","2011","Both sexes","100 years and over","Donegal","Number","25"
"Population","2011","Both sexes","100 years and over","Dún Laoghaire-Rathdown","Number","26"
"Population","2011","Both sexes","100 years and over","Fingal","Number","15"
"Population","2011","Both sexes","100 years and over","Galway City","Number","1"
"Population","2011","Both sexes","100 years and over","Galway County","Number","22"
"Population","2011","Both sexes","100 years and over","Kildare","Number","16"
"Population","2011","Both sexes","100 years and over","Kilkenny","Number","7"
"Population","2011","Both sexes","100 years and over","Kerry","Number","12"
"Population","2011","Both sexes","100 years and over","Longford","Number","5"
"Population","2011","Both sexes","100 years and over","Louth","Number","9"
"Population","2011","Both sexes","100 years and over","Limerick City and County","Number","8"
"Population","2011","Both sexes","100 years and over","Leitrim","Number","3"
"Population","2011","Both sexes","100 years and over","Laois","Number","1"
"Population","2011","Both sexes","100 years and over","Meath","Number","13"
"Population","2011","Both sexes","100 years and over","Monaghan","Number","3"
"Population","2011","Both sexes","100 years and over","Mayo","Number","23"
"Population","2011","Both sexes","100 years and over","Offaly","Number","6"
"Population","2011","Both sexes","100 years and over","Roscommon","Number","15"
"Population","2011","Both sexes","100 years and over","South Dublin","Number","11"
"Population","2011","Both sexes","100 years and over","Sligo","Number","7"
"Population","2011","Both sexes","100 years and over","Tipperary","Number","13"
"Population","2011","Both sexes","100 years and over","Waterford City and County","Number","7"
"Population","2011","Both sexes","100 years and over","Westmeath","Number","9"
"Population","2011","Both sexes","100 years and over","Wicklow","Number","11"
"Population","2011","Both sexes","100 years and over","Wexford","Number","5"
"Population","2016","Both sexes","All ages","State","Number","4761865"
"Population","2016","Both sexes","All ages","Cork City and Cork County","Number","542868"
"Population","2016","Both sexes","All ages","Clare","Number","118817"
"Population","2016","Both sexes","All ages","Cavan","Number","76176"
"Population","2016","Both sexes","All ages","Carlow","Number","56932"
"Population","2016","Both sexes","All ages","Dublin City","Number","554554"
"Population","2016","Both sexes","All ages","Donegal","Number","159192"
"Population","2016","Both sexes","All ages","Dún Laoghaire-Rathdown","Number","218018"
"Population","2016","Both sexes","All ages","Fingal","Number","296020"
"Population","2016","Both sexes","All ages","Galway City","Number","78668"
"Population","2016","Both sexes","All ages","Galway County","Number","179390"
"Population","2016","Both sexes","All ages","Kildare","Number","222504"
"Population","2016","Both sexes","All ages","Kilkenny","Number","99232"
"Population","2016","Both sexes","All ages","Kerry","Number","147707"
"Population","2016","Both sexes","All ages","Longford","Number","40873"
"Population","2016","Both sexes","All ages","Louth","Number","128884"
"Population","2016","Both sexes","All ages","Limerick City and County","Number","194899"
"Population","2016","Both sexes","All ages","Leitrim","Number","32044"
"Population","2016","Both sexes","All ages","Laois","Number","84697"
"Population","2016","Both sexes","All ages","Meath","Number","195044"
"Population","2016","Both sexes","All ages","Monaghan","Number","61386"
"Population","2016","Both sexes","All ages","Mayo","Number","130507"
"Population","2016","Both sexes","All ages","Offaly","Number","77961"
"Population","2016","Both sexes","All ages","Roscommon","Number","64544"
"Population","2016","Both sexes","All ages","South Dublin","Number","278767"
"Population","2016","Both sexes","All ages","Sligo","Number","65535"
"Population","2016","Both sexes","All ages","Tipperary","Number","159553"
"Population","2016","Both sexes","All ages","Waterford City and County","Number","116176"
"Population","2016","Both sexes","All ages","Westmeath","Number","88770"
"Population","2016","Both sexes","All ages","Wicklow","Number","142425"
"Population","2016","Both sexes","All ages","Wexford","Number","149722"
"Population","2016","Both sexes","Under 1 year","State","Number","62257"
"Population","2016","Both sexes","Under 1 year","Cork City and Cork County","Number","7143"
"Population","2016","Both sexes","Under 1 year","Clare","Number","1483"
"Population","2016","Both sexes","Under 1 year","Cavan","Number","1092"
"Population","2016","Both sexes","Under 1 year","Carlow","Number","692"
"Population","2016","Both sexes","Under 1 year","Dublin City","Number","6602"
"Population","2016","Both sexes","Under 1 year","Donegal","Number","2043"
"Population","2016","Both sexes","Under 1 year","Dún Laoghaire-Rathdown","Number","2618"
"Population","2016","Both sexes","Under 1 year","Fingal","Number","4455"
"Population","2016","Both sexes","Under 1 year","Galway City","Number","942"
"Population","2016","Both sexes","Under 1 year","Galway County","Number","2395"
"Population","2016","Both sexes","Under 1 year","Kildare","Number","3179"
"Population","2016","Both sexes","Under 1 year","Kilkenny","Number","1300"
"Population","2016","Both sexes","Under 1 year","Kerry","Number","1682"
"Population","2016","Both sexes","Under 1 year","Longford","Number","543"
"Population","2016","Both sexes","Under 1 year","Louth","Number","1741"
"Population","2016","Both sexes","Under 1 year","Limerick City and County","Number","2536"
"Population","2016","Both sexes","Under 1 year","Leitrim","Number","390"
"Population","2016","Both sexes","Under 1 year","Laois","Number","1151"
"Population","2016","Both sexes","Under 1 year","Meath","Number","2773"
"Population","2016","Both sexes","Under 1 year","Monaghan","Number","895"
"Population","2016","Both sexes","Under 1 year","Mayo","Number","1609"
"Population","2016","Both sexes","Under 1 year","Offaly","Number","989"
"Population","2016","Both sexes","Under 1 year","Roscommon","Number","791"
"Population","2016","Both sexes","Under 1 year","South Dublin","Number","3988"
"Population","2016","Both sexes","Under 1 year","Sligo","Number","737"
"Population","2016","Both sexes","Under 1 year","Tipperary","Number","2059"
"Population","2016","Both sexes","Under 1 year","Waterford City and County","Number","1385"
"Population","2016","Both sexes","Under 1 year","Westmeath","Number","1224"
"Population","2016","Both sexes","Under 1 year","Wicklow","Number","1865"
"Population","2016","Both sexes","Under 1 year","Wexford","Number","1955"
"Population","2016","Both sexes","1 year","State","Number","64029"
"Population","2016","Both sexes","1 year","Cork City and Cork County","Number","7299"
"Population","2016","Both sexes","1 year","Clare","Number","1485"
"Population","2016","Both sexes","1 year","Cavan","Number","1070"
"Population","2016","Both sexes","1 year","Carlow","Number","866"
"Population","2016","Both sexes","1 year","Dublin City","Number","6123"
"Population","2016","Both sexes","1 year","Donegal","Number","1995"
"Population","2016","Both sexes","1 year","Dún Laoghaire-Rathdown","Number","2722"
"Population","2016","Both sexes","1 year","Fingal","Number","4768"
"Population","2016","Both sexes","1 year","Galway City","Number","926"
"Population","2016","Both sexes","1 year","Galway County","Number","2401"
"Population","2016","Both sexes","1 year","Kildare","Number","3401"
"Population","2016","Both sexes","1 year","Kilkenny","Number","1352"
"Population","2016","Both sexes","1 year","Kerry","Number","1709"
"Population","2016","Both sexes","1 year","Longford","Number","604"
"Population","2016","Both sexes","1 year","Louth","Number","1833"
"Population","2016","Both sexes","1 year","Limerick City and County","Number","2538"
"Population","2016","Both sexes","1 year","Leitrim","Number","423"
"Population","2016","Both sexes","1 year","Laois","Number","1318"
"Population","2016","Both sexes","1 year","Meath","Number","2964"
"Population","2016","Both sexes","1 year","Monaghan","Number","884"
"Population","2016","Both sexes","1 year","Mayo","Number","1599"
"Population","2016","Both sexes","1 year","Offaly","Number","1118"
"Population","2016","Both sexes","1 year","Roscommon","Number","844"
"Population","2016","Both sexes","1 year","South Dublin","Number","4226"
"Population","2016","Both sexes","1 year","Sligo","Number","824"
"Population","2016","Both sexes","1 year","Tipperary","Number","2122"
"Population","2016","Both sexes","1 year","Waterford City and County","Number","1472"
"Population","2016","Both sexes","1 year","Westmeath","Number","1241"
"Population","2016","Both sexes","1 year","Wicklow","Number","1951"
"Population","2016","Both sexes","1 year","Wexford","Number","1951"
"Population","2016","Both sexes","2 years","State","Number","66318"
"Population","2016","Both sexes","2 years","Cork City and Cork County","Number","7490"
"Population","2016","Both sexes","2 years","Clare","Number","1477"
"Population","2016","Both sexes","2 years","Cavan","Number","1144"
"Population","2016","Both sexes","2 years","Carlow","Number","777"
"Population","2016","Both sexes","2 years","Dublin City","Number","6050"
"Population","2016","Both sexes","2 years","Donegal","Number","2181"
"Population","2016","Both sexes","2 years","Dún Laoghaire-Rathdown","Number","2833"
"Population","2016","Both sexes","2 years","Fingal","Number","5056"
"Population","2016","Both sexes","2 years","Galway City","Number","1001"
"Population","2016","Both sexes","2 years","Galway County","Number","2628"
"Population","2016","Both sexes","2 years","Kildare","Number","3445"
"Population","2016","Both sexes","2 years","Kilkenny","Number","1446"
"Population","2016","Both sexes","2 years","Kerry","Number","1707"
"Population","2016","Both sexes","2 years","Longford","Number","589"
"Population","2016","Both sexes","2 years","Louth","Number","1904"
"Population","2016","Both sexes","2 years","Limerick City and County","Number","2615"
"Population","2016","Both sexes","2 years","Leitrim","Number","460"
"Population","2016","Both sexes","2 years","Laois","Number","1316"
"Population","2016","Both sexes","2 years","Meath","Number","3202"
"Population","2016","Both sexes","2 years","Monaghan","Number","936"
"Population","2016","Both sexes","2 years","Mayo","Number","1671"
"Population","2016","Both sexes","2 years","Offaly","Number","1177"
"Population","2016","Both sexes","2 years","Roscommon","Number","882"
"Population","2016","Both sexes","2 years","South Dublin","Number","4318"
"Population","2016","Both sexes","2 years","Sligo","Number","873"
"Population","2016","Both sexes","2 years","Tipperary","Number","2170"
"Population","2016","Both sexes","2 years","Waterford City and County","Number","1572"
"Population","2016","Both sexes","2 years","Westmeath","Number","1332"
"Population","2016","Both sexes","2 years","Wicklow","Number","1980"
"Population","2016","Both sexes","2 years","Wexford","Number","2086"
"Population","2016","Both sexes","3 years","State","Number","68076"
"Population","2016","Both sexes","3 years","Cork City and Cork County","Number","7755"
"Population","2016","Both sexes","3 years","Clare","Number","1671"
"Population","2016","Both sexes","3 years","Cavan","Number","1191"
"Population","2016","Both sexes","3 years","Carlow","Number","849"
"Population","2016","Both sexes","3 years","Dublin City","Number","5949"
"Population","2016","Both sexes","3 years","Donegal","Number","2242"
"Population","2016","Both sexes","3 years","Dún Laoghaire-Rathdown","Number","2777"
"Population","2016","Both sexes","3 years","Fingal","Number","5132"
"Population","2016","Both sexes","3 years","Galway City","Number","955"
"Population","2016","Both sexes","3 years","Galway County","Number","2737"
"Population","2016","Both sexes","3 years","Kildare","Number","3556"
"Population","2016","Both sexes","3 years","Kilkenny","Number","1438"
"Population","2016","Both sexes","3 years","Kerry","Number","1957"
"Population","2016","Both sexes","3 years","Longford","Number","652"
"Population","2016","Both sexes","3 years","Louth","Number","1960"
"Population","2016","Both sexes","3 years","Limerick City and County","Number","2654"
"Population","2016","Both sexes","3 years","Leitrim","Number","465"
"Population","2016","Both sexes","3 years","Laois","Number","1410"
"Population","2016","Both sexes","3 years","Meath","Number","3289"
"Population","2016","Both sexes","3 years","Monaghan","Number","952"
"Population","2016","Both sexes","3 years","Mayo","Number","1765"
"Population","2016","Both sexes","3 years","Offaly","Number","1113"
"Population","2016","Both sexes","3 years","Roscommon","Number","918"
