,Sex,Single Year of Age,Administrative Counties,VALUE
8864,Female,72,Ireland,21159
8896,Female,73,Ireland,20134
8928,Female,74,Ireland,19177
8960,Female,75,Ireland,18294
8992,Female,76,Ireland,17665
9024,Female,77,Ireland,15971
9056,Female,78,Ireland,14666
9088,Female,79,Ireland,13938
9120,Female,80,Ireland,12173
9152,Female,81,Ireland,11191
9184,Female,82,Ireland,10759
9216,Female,83,Ireland,9985
9248,Female,84,Ireland,8890
9280,Female,85,Ireland,8303
9312,Female,86,Ireland,7501
9344,Female,87,Ireland,6766
9376,Female,88,Ireland,5927
9408,Female,89,Ireland,4961
9440,Female,90,Ireland,4285
9472,Female,91,Ireland,3781
9504,Female,92,Ireland,2809
9536,Female,93,Ireland,2320
9568,Female,94,Ireland,1737
9600,Female,95,Ireland,1344
9632,Female,96,Ireland,956
9664,Female,97,Ireland,732
9696,Female,98,Ireland,492
9728,Female,99,Ireland,336
9760,Female,100,Ireland,584
